id,source,case_name,len,dtype,shape,c_contiguous,buffer_type,buffer_nbytes,recorded_sha256,write_route_sha256,verify_route_sha256,canonical_sha256,max_abs_diff_write_vs_verify,n_diff_write_vs_verify,recorded_eq_write,recorded_eq_verify,write_eq_verify,any_encoding_matches_recorded,matching_encodings,first3,last3
s0596ea57,synthetic,IcIt_observational,66,float64,"(66,)",True,bytes,528,78ae091842bc862a32bc314e12b839859b8dc9551dd3a6710de3ec778a225242,15cce43e9556394c7f5cd33a705f66fef8bbb9677dcefc4314dceb28863585eb,15cce43e9556394c7f5cd33a705f66fef8bbb9677dcefc4314dceb28863585eb,15cce43e9556394c7f5cd33a705f66fef8bbb9677dcefc4314dceb28863585eb,0.0,0,False,False,True,False,[],"['-0.0001', '-0.0001', '-0.0001']","['-0.0006983004400630411', '-0.0006995748087030286', '-0.0007']"
s46657891,synthetic,quase_ItD,66,float64,"(66,)",True,bytes,528,e0fe1e0a85981d761f110e04ae3f67acc78daab08998f11d95ac1f27a845c6bb,7da0c5496516c8874a1687a4020a29a8e3bcbd1269329c226c62b4d306c1e68e,7da0c5496516c8874a1687a4020a29a8e3bcbd1269329c226c62b4d306c1e68e,7da0c5496516c8874a1687a4020a29a8e3bcbd1269329c226c62b4d306c1e68e,0.0,0,False,False,True,False,[],"['-0.0001', '-0.00010192610933112124', '-0.00010768588783870784']","['-0.00010768588783870788', '-0.00010192610933112132', '-0.00010000000000000005']"
s4e7ff65c,synthetic,ItMD_clean,66,float64,"(66,)",True,bytes,528,8ef970c54d89f95ea8e65e5e99a1f9a58cf966a5d3c8979e341e0a5757188c61,821f1e7a56a07bfc442855b2b89c96364c44c5af66bb0fefd3ed1fc107e7bba8,821f1e7a56a07bfc442855b2b89c96364c44c5af66bb0fefd3ed1fc107e7bba8,821f1e7a56a07bfc442855b2b89c96364c44c5af66bb0fefd3ed1fc107e7bba8,0.0,0,False,False,True,False,[],"['-0.0001', '-0.0001', '-0.0001']","['-0.00010607689879511676', '-0.00010152212076330186', '-0.00010000000000000005']"
s5b8aa46f,synthetic,DItMD_residual_noisy,66,float64,"(66,)",True,bytes,528,4dbf8e04ab28e8159d8fb49bb2267bb713d32f53a93ea49e401d67df996af255,90ce58dba4378e7fbdef14aa081acd7a80fba60e9ee6249c351b2547a87da23b,90ce58dba4378e7fbdef14aa081acd7a80fba60e9ee6249c351b2547a87da23b,90ce58dba4378e7fbdef14aa081acd7a80fba60e9ee6249c351b2547a87da23b,0.0,0,False,False,True,False,[],"['-0.0008969751458913034', '-0.000819475086174803', '-0.0007288312389164925']","['-0.0004908476047947674', '-0.00048687434623917653', '-0.0005170614337946386']"
s5dcc0f79,synthetic,IcItMD_residual_clean,66,float64,"(66,)",True,bytes,528,9454fe8e2b34a814878f8744cad252aa159a09627f52f798f2f9803707aa399e,8434ba71b30a0e8d405065fae3b77178322dd0ed956f7ef510730a47c638e522,8434ba71b30a0e8d405065fae3b77178322dd0ed956f7ef510730a47c638e522,8434ba71b30a0e8d405065fae3b77178322dd0ed956f7ef510730a47c638e522,0.0,0,False,False,True,False,[],"['-0.0001', '-0.0001', '-0.0001']","['-0.0004931851652578137', '-0.0004982889722747622', '-0.0005']"
s6b1e8245,synthetic,IcDItMD_noisy,66,float64,"(66,)",True,bytes,528,c3f0600e92b645f829b052d80e602d353e83e68faacf75b972982ec0c4a2ac01,72c2a1d8ca8e5be40f4e86e87ee2601d7526ef51538b2a429648974128dffcd4,72c2a1d8ca8e5be40f4e86e87ee2601d7526ef51538b2a429648974128dffcd4,72c2a1d8ca8e5be40f4e86e87ee2601d7526ef51538b2a429648974128dffcd4,0.0,0,False,False,True,False,[],"['-0.0008944706529269634', '-0.0008800433495775421', '-0.0008677018985428081']","['-0.00013255105381552337', '-0.00010053226905991452', '-0.00010746799387007687']"
s6b542eee,synthetic,ItMD_ItMD_noisy,66,float64,"(66,)",True,bytes,528,6ad904a1a64da31fc653077fd15010ccfef64bc6412a74461072d9cbff83e16a,0e67659759cc2b42ffa5942942ba576f6c4c4ceeef4354e69dd73b7d602788e3,0e67659759cc2b42ffa5942942ba576f6c4c4ceeef4354e69dd73b7d602788e3,0e67659759cc2b42ffa5942942ba576f6c4c4ceeef4354e69dd73b7d602788e3,0.0,0,False,False,True,False,[],"['-0.00011042865844178704', '-0.00011441874970679163', '-0.0001191980058764569']","['-0.00013181065188004967', '-0.00010905477336046988', '-9.493634337152644e-05']"
s8001f17b,synthetic,DItMD_noisy,66,float64,"(66,)",True,bytes,528,284cd8141059530aff503175bf9fd0b64122dd3f5d5bd767b9466c61fec60a10,69843d633318fe18a7b1d03786413e0fcfc7adfb0f044bab29e2d422b7065c6e,69843d633318fe18a7b1d03786413e0fcfc7adfb0f044bab29e2d422b7065c6e,69843d633318fe18a7b1d03786413e0fcfc7adfb0f044bab29e2d422b7065c6e,0.0,0,False,False,True,False,[],"['-0.0008944706529269634', '-0.0007979652208150925', '-0.000716935229003288']","['-0.00012590599225364537', '-9.885891811768872e-05', '-0.00010746799387007687']"
s9ddbc53c,synthetic,IcItMD_residual_noisy,66,float64,"(66,)",True,bytes,528,af5e3fb08414abc37f5189c1dd1b4a8fd4912162c3f1d0dcc5a8adcb762d4173,7d17e21a46edc10d56fb60f3de533598d13a7d98de553074fbd18a845df38845,7d17e21a46edc10d56fb60f3de533598d13a7d98de553074fbd18a845df38845,7d17e21a46edc10d56fb60f3de533598d13a7d98de553074fbd18a845df38845,0.0,0,False,False,True,False,[],"['-9.51245267239291e-05', '-0.00011663974569984793', '-8.799278086709669e-05']","['-0.00048380560795606523', '-0.0004869093469980765', '-0.0004873064442368012']"
sbceec644,synthetic,ItMD_noisy,66,float64,"(66,)",True,bytes,528,0443afab2618323d9602006ee0a5c6bd4688ab49bcac960c45accc3fd311d976,5fdeefa9c329e641eed251d0759c0e48e80352e8901249f0a27aae8a379c5513,5fdeefa9c329e641eed251d0759c0e48e80352e8901249f0a27aae8a379c5513,5fdeefa9c329e641eed251d0759c0e48e80352e8901249f0a27aae8a379c5513,0.0,0,False,False,True,False,[],"['-9.798831646250571e-05', '-0.00010553573326313668', '-0.00010338290707728016']","['-0.00011401147045019119', '-9.625860669193863e-05', '-0.00010413716072758282']"
sbd6c6920,synthetic,IcItMD_ItMD_noisy,66,float64,"(66,)",True,bytes,528,eb4f2989b87146a76443bd091ceb541bb06c92c613e70909103073a9d5f89c0b,7c439c8b28fad9b62551f47e27a055f6b30fd4084656fad0fad3842712c4ee61,7c439c8b28fad9b62551f47e27a055f6b30fd4084656fad0fad3842712c4ee61,7c439c8b28fad9b62551f47e27a055f6b30fd4084656fad0fad3842712c4ee61,0.0,0,False,False,True,False,[],"['-6.73452940578371e-05', '-0.0001408906405010269', '-9.331041845238754e-05']","['-0.00012246628022682932', '-0.00014128763608157262', '-0.00011463191260791347']"
