case,group,steep_start,window,candidate,boundary,gt,error
ItMD_clean,clean,False,0,tau0.10_single,4,3.0,1.0
ItMD_clean,clean,False,0,tau0.10_sustained3,4,3.0,1.0
ItMD_clean,clean,False,0,tau0.15_single,5,3.0,2.0
ItMD_clean,clean,False,0,tau0.15_sustained3,5,3.0,2.0
ItMD_clean,clean,False,0,tau0.20_single,5,3.0,2.0
ItMD_clean,clean,False,0,tau0.20_sustained3,5,3.0,2.0
ItMD_clean,clean,False,0,tau0.30_single,6,3.0,3.0
ItMD_clean,clean,False,0,tau0.30_sustained3,6,3.0,3.0
ItMD_clean,clean,False,0,knee,5,3.0,2.0
ItMD_clean,clean,False,3,tau0.10_single,4,3.0,1.0
ItMD_clean,clean,False,3,tau0.10_sustained3,4,3.0,1.0
ItMD_clean,clean,False,3,tau0.15_single,5,3.0,2.0
ItMD_clean,clean,False,3,tau0.15_sustained3,5,3.0,2.0
ItMD_clean,clean,False,3,tau0.20_single,5,3.0,2.0
ItMD_clean,clean,False,3,tau0.20_sustained3,5,3.0,2.0
ItMD_clean,clean,False,3,tau0.30_single,6,3.0,3.0
ItMD_clean,clean,False,3,tau0.30_sustained3,6,3.0,3.0
ItMD_clean,clean,False,3,knee,5,3.0,2.0
ItMD_clean,clean,False,5,tau0.10_single,4,3.0,1.0
ItMD_clean,clean,False,5,tau0.10_sustained3,4,3.0,1.0
ItMD_clean,clean,False,5,tau0.15_single,5,3.0,2.0
ItMD_clean,clean,False,5,tau0.15_sustained3,5,3.0,2.0
ItMD_clean,clean,False,5,tau0.20_single,5,3.0,2.0
ItMD_clean,clean,False,5,tau0.20_sustained3,5,3.0,2.0
ItMD_clean,clean,False,5,tau0.30_single,6,3.0,3.0
ItMD_clean,clean,False,5,tau0.30_sustained3,6,3.0,3.0
ItMD_clean,clean,False,5,knee,5,3.0,2.0
ItMD_clean,clean,False,7,tau0.10_single,4,3.0,1.0
ItMD_clean,clean,False,7,tau0.10_sustained3,4,3.0,1.0
ItMD_clean,clean,False,7,tau0.15_single,4,3.0,1.0
ItMD_clean,clean,False,7,tau0.15_sustained3,4,3.0,1.0
ItMD_clean,clean,False,7,tau0.20_single,5,3.0,2.0
ItMD_clean,clean,False,7,tau0.20_sustained3,5,3.0,2.0
ItMD_clean,clean,False,7,tau0.30_single,6,3.0,3.0
ItMD_clean,clean,False,7,tau0.30_sustained3,6,3.0,3.0
ItMD_clean,clean,False,7,knee,6,3.0,3.0
ItMD_clean,clean,False,9,tau0.10_single,4,3.0,1.0
ItMD_clean,clean,False,9,tau0.10_sustained3,4,3.0,1.0
ItMD_clean,clean,False,9,tau0.15_single,4,3.0,1.0
ItMD_clean,clean,False,9,tau0.15_sustained3,4,3.0,1.0
ItMD_clean,clean,False,9,tau0.20_single,5,3.0,2.0
ItMD_clean,clean,False,9,tau0.20_sustained3,5,3.0,2.0
ItMD_clean,clean,False,9,tau0.30_single,6,3.0,3.0
ItMD_clean,clean,False,9,tau0.30_sustained3,6,3.0,3.0
ItMD_clean,clean,False,9,knee,6,3.0,3.0
IcItMD_residual_noisy,noisy,False,0,tau0.10_single,0,3.0,-3.0
IcItMD_residual_noisy,noisy,False,0,tau0.10_sustained3,2,3.0,-1.0
IcItMD_residual_noisy,noisy,False,0,tau0.15_single,0,3.0,-3.0
IcItMD_residual_noisy,noisy,False,0,tau0.15_sustained3,2,3.0,-1.0
IcItMD_residual_noisy,noisy,False,0,tau0.20_single,0,3.0,-3.0
IcItMD_residual_noisy,noisy,False,0,tau0.20_sustained3,6,3.0,3.0
IcItMD_residual_noisy,noisy,False,0,tau0.30_single,4,3.0,1.0
IcItMD_residual_noisy,noisy,False,0,tau0.30_sustained3,6,3.0,3.0
IcItMD_residual_noisy,noisy,False,0,knee,3,3.0,0.0
IcItMD_residual_noisy,noisy,False,3,tau0.10_single,0,3.0,-3.0
IcItMD_residual_noisy,noisy,False,3,tau0.10_sustained3,2,3.0,-1.0
IcItMD_residual_noisy,noisy,False,3,tau0.15_single,0,3.0,-3.0
IcItMD_residual_noisy,noisy,False,3,tau0.15_sustained3,2,3.0,-1.0
IcItMD_residual_noisy,noisy,False,3,tau0.20_single,0,3.0,-3.0
IcItMD_residual_noisy,noisy,False,3,tau0.20_sustained3,6,3.0,3.0
IcItMD_residual_noisy,noisy,False,3,tau0.30_single,4,3.0,1.0
IcItMD_residual_noisy,noisy,False,3,tau0.30_sustained3,6,3.0,3.0
IcItMD_residual_noisy,noisy,False,3,knee,3,3.0,0.0
IcItMD_residual_noisy,noisy,False,5,tau0.10_single,3,3.0,0.0
IcItMD_residual_noisy,noisy,False,5,tau0.10_sustained3,3,3.0,0.0
IcItMD_residual_noisy,noisy,False,5,tau0.15_single,3,3.0,0.0
IcItMD_residual_noisy,noisy,False,5,tau0.15_sustained3,3,3.0,0.0
IcItMD_residual_noisy,noisy,False,5,tau0.20_single,4,3.0,1.0
IcItMD_residual_noisy,noisy,False,5,tau0.20_sustained3,4,3.0,1.0
IcItMD_residual_noisy,noisy,False,5,tau0.30_single,4,3.0,1.0
IcItMD_residual_noisy,noisy,False,5,tau0.30_sustained3,6,3.0,3.0
IcItMD_residual_noisy,noisy,False,5,knee,16,3.0,13.0
IcItMD_residual_noisy,noisy,False,7,tau0.10_single,3,3.0,0.0
IcItMD_residual_noisy,noisy,False,7,tau0.10_sustained3,3,3.0,0.0
IcItMD_residual_noisy,noisy,False,7,tau0.15_single,4,3.0,1.0
IcItMD_residual_noisy,noisy,False,7,tau0.15_sustained3,4,3.0,1.0
IcItMD_residual_noisy,noisy,False,7,tau0.20_single,4,3.0,1.0
